0.1 	0.2 	0.2	2
0.8 	0.5 	0.1	2
0.75 	0.6 	0.15	2
0.7 	0.55 	0.1	2
0.65 	0.45 	0.1	2
0.6 	0.47 	0.3	1
0.3 	0.3 	0.15	2
0.5 	0.35 	0.45	0
0.45 	0.2 	0.2	1
0.1 	0.25 	0.1	2
0.35 	0.3 	0.2	2
0.3 	0.35 	0.15	2
0.25 	0.2 	0.3	1
0.2 	0.25 	0.6	0
0.15 	0.3 	0.5	0
0.1 	0.35 	0.7	0
0.4 	0.25 	0.1	2
0.35 	0.3 	0.4	0
0.3 	0.35 	0.3	1
0.25 	0.4 	0.5	1
0.2 	0.45 	0.4	2
0.15 	0.35 	0.6	0
0.1 	0.3 	0.4	1
0.5 	0.25 	0.4	0
0.23 	0.2 	0.25	1
0.4 	0.15 	0.35	0
0.35 	0.1 	0.2	1
0.3 	0.3 	0.6	0
0.2 	0.25 	0.2	2
0.15 	0.2 	0.6	0
0.5 	0.4 	0.1	2
0.45 	0.35 	0.5	0
0.4 	0.3 	0.2	1
0.35 	0.25 	0.4	0
0.3 	0.2 	0.3	1
0.35 	0.15 	0.45	0
0.4 	0.1 	0.15	1
0.45 	0.25 	0.5	0
0.5 	0.2 	0.2	1
0.35 	0.15 	0.5	0
0.5 	0.15 	0.1	1
