0.1	0.85	0.2	0.34	0
0.15	0.8	0.25	0.1	0
0.2	0.75	0.35	0.15	1
0.25	0.7	0.35	0.3	0
0.3	0.65	0.2	0.1	1
0.35	0.6	0.25	0.3	0
0.4	0.55	0.3	0.15	1
0.45	0.5	0.35	0.45	0
0.5	0.45	0.2	0.2	1
0.55	0.4	0.25	0.5	0
0.6	0.35	0.3	0.2	1
0.65	0.3	0.35	0.6	0
0.7	0.25	0.2	0.3	1
0.75	0.2	0.25	0.6	0
0.8	0.15	0.3	0.5	1
0.85	0.1	0.35	0.7	0
0.1	0.4	0.25	0.2	1
0.15	0.35	0.3	0.4	0
0.2	0.3	0.35	0.3	1
0.25	0.25	0.4	0.5	0
0.3	0.2	0.45	0.4	1
0.35	0.15	0.35	0.6	0
0.4	0.1	0.3	0.4	1
0.45	0.5	0.25	0.4	0
0.5	0.45	0.2	0.25	1
0.55	0.4	0.15	0.35	0
0.6	0.35	0.1	0.2	1
0.65	0.3	0.3	0.6	0
0.7	0.2	0.25	0.5	1
0.75	0.15	0.2	0.6	0
0.2	0.5	0.4	0.1	1
0.25	0.45	0.35	0.5	0
0.3	0.4	0.3	0.2	1
0.35	0.35	0.25	0.4	0
0.4	0.3	0.2	0.3	1
0.4	0.35	0.15	0.45	0
0.45	0.4	0.1	0.15	1
0.5	0.45	0.25	0.5	0
0.55	0.5	0.2	0.2	1
0.6	0.35	0.15	0.5	0
0.4	0.5	0.4	0.1	1
